,time,open,high,low,close,tick_volume,spread,real_volume
0,1764836700,0.93378,0.93385,0.93377,0.93382,89,15,0
1,1764837000,0.93384,0.93395,0.9338,0.93392,74,12,0
2,1764837300,0.93391,0.93393,0.93378,0.93386,59,12,0
3,1764837600,0.93385,0.93391,0.93381,0.93388,78,12,0
4,1764837900,0.93388,0.93388,0.93381,0.93387,78,12,0
5,1764838200,0.93386,0.93388,0.93356,0.93358,78,12,0
6,1764838500,0.93359,0.93364,0.9335,0.93362,105,12,0
7,1764838800,0.93362,0.93362,0.93337,0.93348,155,12,0
8,1764839100,0.93348,0.93392,0.93348,0.93388,112,12,0
9,1764839400,0.93387,0.93387,0.93356,0.93366,105,12,0
10,1764839700,0.93366,0.93385,0.93362,0.93385,88,12,0
11,1764840000,0.93384,0.93407,0.93378,0.93392,106,12,0
12,1764840300,0.93393,0.93393,0.93379,0.93379,92,12,0
13,1764840600,0.9338,0.93383,0.93372,0.93376,76,11,0
14,1764840900,0.93377,0.93384,0.93371,0.93377,84,11,0
15,1764841200,0.93377,0.93383,0.93364,0.93366,65,11,0
16,1764841500,0.93365,0.93388,0.93363,0.93383,142,11,0
17,1764841800,0.93382,0.93382,0.93367,0.9337,80,11,0
18,1764842100,0.93369,0.93402,0.93366,0.93396,111,11,0
19,1764842400,0.93395,0.93423,0.93379,0.93423,203,11,0
20,1764842700,0.93423,0.93425,0.93396,0.93413,153,11,0
21,1764843000,0.93412,0.93461,0.93408,0.93459,173,11,0
22,1764843300,0.93459,0.93459,0.93425,0.93426,139,11,0
23,1764843600,0.93426,0.93436,0.93404,0.93414,152,11,0
24,1764843900,0.93413,0.93417,0.93383,0.93393,189,11,0
25,1764844200,0.93392,0.93417,0.93375,0.93412,175,11,0
26,1764844500,0.93411,0.93434,0.93395,0.93432,139,11,0
27,1764844800,0.93432,0.9346,0.9343,0.93457,128,11,0
28,1764845100,0.93457,0.93462,0.93428,0.93429,118,11,0
29,1764845400,0.93427,0.93436,0.93418,0.9343,129,11,0
30,1764845700,0.93432,0.93446,0.93418,0.93435,173,11,0
31,1764846000,0.93436,0.93447,0.93419,0.93439,186,11,0
32,1764846300,0.9344,0.9344,0.93407,0.93413,140,11,0
33,1764846600,0.93411,0.9343,0.93408,0.93414,129,11,0
34,1764846900,0.93415,0.93415,0.93392,0.93403,108,11,0
35,1764847200,0.93404,0.93434,0.93404,0.93428,123,7,0
36,1764847500,0.93427,0.93439,0.93427,0.93432,81,11,0
37,1764847800,0.93433,0.93433,0.93409,0.9341,138,11,0
38,1764848100,0.93409,0.93418,0.93403,0.9341,111,11,0
39,1764848400,0.93411,0.93425,0.93405,0.93416,123,11,0
40,1764848700,0.93415,0.93425,0.93406,0.93409,102,11,0
41,1764849000,0.93411,0.93417,0.93391,0.93393,127,11,0
42,1764849300,0.93394,0.93408,0.93378,0.93378,151,11,0
43,1764849600,0.93377,0.93391,0.93375,0.93382,126,11,0
44,1764849900,0.93381,0.93407,0.93379,0.93395,162,11,0
45,1764850200,0.93394,0.93413,0.9339,0.93408,122,11,0
46,1764850500,0.9341,0.9342,0.93407,0.93409,128,11,0
47,1764850800,0.93409,0.93422,0.93403,0.93421,97,11,0
48,1764851100,0.9342,0.93423,0.93407,0.93418,111,11,0
49,1764851400,0.9342,0.93422,0.93395,0.93406,87,11,0
50,1764851700,0.93407,0.9341,0.93394,0.93398,102,11,0
51,1764852000,0.93399,0.93399,0.93375,0.93376,99,11,0
52,1764852300,0.93376,0.93392,0.93375,0.9339,99,11,0
53,1764852600,0.93391,0.934,0.93385,0.93386,109,11,0
54,1764852900,0.93385,0.93406,0.93385,0.93401,139,11,0
55,1764853200,0.93399,0.93399,0.93383,0.9339,134,11,0
56,1764853500,0.93389,0.93397,0.93385,0.93395,156,11,0
57,1764853800,0.93394,0.93397,0.93363,0.93366,140,11,0
58,1764854100,0.93366,0.93369,0.93352,0.93369,113,11,0
59,1764854400,0.93368,0.93386,0.93364,0.93384,128,11,0
60,1764854700,0.93385,0.93387,0.93375,0.93384,106,11,0
61,1764855000,0.93385,0.93399,0.9338,0.93384,112,11,0
62,1764855300,0.93383,0.93394,0.93383,0.93393,68,11,0
63,1764855600,0.93394,0.93394,0.93385,0.93387,100,11,0
64,1764855900,0.93387,0.93393,0.93382,0.93392,60,11,0
65,1764856200,0.93396,0.93398,0.93388,0.93395,83,11,0
66,1764856500,0.93394,0.934,0.93388,0.93393,114,11,0
67,1764856800,0.93392,0.93406,0.93388,0.93399,134,11,0
68,1764857100,0.93399,0.93401,0.93391,0.93394,104,11,0
69,1764857400,0.93395,0.934,0.93384,0.93397,111,11,0
70,1764857700,0.93397,0.93404,0.9339,0.93397,111,11,0
71,1764858000,0.93396,0.934,0.93384,0.9339,115,11,0
72,1764858300,0.9339,0.93394,0.93382,0.93385,107,10,0
73,1764858600,0.93386,0.93405,0.93384,0.93396,127,11,0
74,1764858900,0.93398,0.93407,0.93391,0.93402,101,11,0
75,1764859200,0.93403,0.93409,0.93399,0.93406,81,11,0
76,1764859500,0.93406,0.93411,0.93394,0.93394,99,11,0
77,1764859800,0.93393,0.93397,0.93385,0.93388,91,11,0
78,1764860100,0.93388,0.934,0.93387,0.93398,113,11,0
79,1764860400,0.93398,0.93401,0.93389,0.93396,134,11,0
80,1764860700,0.93395,0.93402,0.9338,0.93387,118,11,0
81,1764861000,0.93386,0.93393,0.93383,0.93386,136,11,0
82,1764861300,0.93387,0.93396,0.93386,0.93396,111,11,0
83,1764861600,0.93395,0.93404,0.93393,0.93403,78,11,0
84,1764861900,0.93402,0.93405,0.93394,0.93396,104,11,0
85,1764862200,0.93397,0.93419,0.93393,0.93399,365,11,0
86,1764862500,0.93398,0.93407,0.9339,0.93404,203,11,0
87,1764862800,0.93402,0.93407,0.93389,0.93407,197,11,0
88,1764863100,0.93406,0.93406,0.93376,0.93377,203,11,0
89,1764863400,0.93376,0.93394,0.9337,0.93391,197,11,0
90,1764863700,0.9339,0.93399,0.93385,0.93393,168,11,0
91,1764864000,0.93392,0.93396,0.93375,0.93378,172,11,0
92,1764864300,0.93379,0.93392,0.93373,0.93384,160,11,0
93,1764864600,0.93383,0.93389,0.93353,0.93357,194,11,0
94,1764864900,0.93358,0.93362,0.93349,0.93349,182,11,0
95,1764865200,0.9335,0.93374,0.93349,0.93363,143,11,0
96,1764865500,0.93362,0.93371,0.93361,0.93363,123,11,0
97,1764865800,0.93364,0.93369,0.93338,0.9334,219,11,0
98,1764866100,0.9334,0.93373,0.93337,0.93363,213,11,0
99,1764866400,0.93363,0.9339,0.93363,0.93384,198,11,0
100,1764866700,0.93383,0.93416,0.93382,0.93412,176,11,0
101,1764867000,0.93411,0.93423,0.93402,0.93419,201,11,0
102,1764867300,0.9342,0.93429,0.93411,0.93423,161,11,0
103,1764867600,0.93424,0.93452,0.93418,0.93444,190,11,0
104,1764867900,0.93443,0.93487,0.93434,0.93485,214,11,0
