,time,open,high,low,close,tick_volume,spread,real_volume
0,1764837900,0.87405,0.87408,0.87399,0.87407,64,10,0
1,1764838200,0.87406,0.87408,0.87402,0.87406,55,10,0
2,1764838500,0.87406,0.87407,0.87397,0.87401,81,10,0
3,1764838800,0.87397,0.87406,0.87392,0.87401,118,10,0
4,1764839100,0.87403,0.87419,0.87403,0.87416,85,10,0
5,1764839400,0.87414,0.87416,0.87397,0.87406,79,10,0
6,1764839700,0.87405,0.87416,0.87405,0.87412,46,10,0
7,1764840000,0.87413,0.87428,0.87405,0.87428,67,10,0
8,1764840300,0.87429,0.87445,0.87426,0.87431,76,10,0
9,1764840600,0.87432,0.87432,0.87419,0.87426,72,8,0
10,1764840900,0.87425,0.87439,0.87423,0.87436,62,8,0
11,1764841200,0.87435,0.8745,0.87428,0.87441,72,8,0
12,1764841500,0.87442,0.87448,0.87431,0.87442,86,8,0
13,1764841800,0.87443,0.87448,0.87433,0.87447,91,8,0
14,1764842100,0.87448,0.8747,0.8744,0.87469,89,8,0
15,1764842400,0.87469,0.87472,0.87443,0.87444,174,8,0
16,1764842700,0.87445,0.87478,0.87445,0.87466,149,8,0
17,1764843000,0.87465,0.87485,0.87438,0.87439,147,8,0
18,1764843300,0.87439,0.87447,0.87423,0.87424,157,8,0
19,1764843600,0.87423,0.87446,0.87417,0.87422,142,8,0
20,1764843900,0.87424,0.87429,0.87404,0.8742,150,8,0
21,1764844200,0.87419,0.87437,0.87413,0.87427,139,8,0
22,1764844500,0.87428,0.87441,0.87418,0.8744,125,8,0
23,1764844800,0.8744,0.87454,0.87429,0.87449,135,8,0
24,1764845100,0.87448,0.87478,0.87443,0.87471,114,8,0
25,1764845400,0.87472,0.875,0.87462,0.87499,115,8,0
26,1764845700,0.875,0.87516,0.87486,0.87507,151,8,0
27,1764846000,0.87512,0.87526,0.87492,0.87516,198,8,0
28,1764846300,0.87517,0.87522,0.87496,0.87504,141,8,0
29,1764846600,0.87504,0.87525,0.87504,0.87524,122,8,0
30,1764846900,0.87523,0.87539,0.87521,0.8753,105,8,0
31,1764847200,0.87529,0.87529,0.8751,0.87514,103,8,0
32,1764847500,0.87514,0.87514,0.875,0.87501,65,7,0
33,1764847800,0.87502,0.87535,0.87502,0.87507,167,8,0
34,1764848100,0.87506,0.87513,0.87498,0.87511,104,8,0
35,1764848400,0.87506,0.87518,0.87501,0.87511,96,8,0
36,1764848700,0.87512,0.87523,0.87507,0.87508,98,8,0
37,1764849000,0.87509,0.87515,0.87496,0.87496,109,8,0
38,1764849300,0.87497,0.87518,0.87485,0.87487,122,8,0
39,1764849600,0.87487,0.87506,0.87483,0.87483,151,8,0
40,1764849900,0.87484,0.87493,0.87457,0.87461,149,8,0
41,1764850200,0.87463,0.87472,0.87455,0.87465,87,8,0
42,1764850500,0.87466,0.87479,0.87454,0.87466,87,8,0
43,1764850800,0.87466,0.87467,0.87445,0.87445,88,8,0
44,1764851100,0.87444,0.87444,0.87418,0.87423,129,8,0
45,1764851400,0.87422,0.8744,0.87408,0.87415,108,8,0
46,1764851700,0.87413,0.87427,0.87398,0.87425,79,8,0
47,1764852000,0.87426,0.87436,0.87407,0.87423,110,8,0
48,1764852300,0.87424,0.87445,0.87415,0.87438,103,8,0
49,1764852600,0.87439,0.87457,0.87432,0.8745,95,8,0
50,1764852900,0.8745,0.87452,0.8741,0.87428,139,8,0
51,1764853200,0.87427,0.8744,0.87421,0.87423,127,8,0
52,1764853500,0.87422,0.87437,0.87403,0.87423,181,8,0
53,1764853800,0.87423,0.87431,0.87412,0.87425,102,8,0
54,1764854100,0.87424,0.8743,0.87407,0.87413,89,8,0
55,1764854400,0.87414,0.87428,0.87413,0.87416,87,8,0
56,1764854700,0.87417,0.87422,0.87404,0.8741,93,8,0
57,1764855000,0.87411,0.8742,0.87403,0.87414,101,8,0
58,1764855300,0.87416,0.87416,0.87391,0.87401,68,8,0
59,1764855600,0.87396,0.87402,0.87388,0.87402,95,8,0
60,1764855900,0.87403,0.87413,0.87399,0.87401,88,8,0
61,1764856200,0.87402,0.87412,0.87396,0.87399,87,8,0
62,1764856500,0.87399,0.87432,0.87397,0.87415,161,8,0
63,1764856800,0.87415,0.87432,0.87407,0.87432,126,8,0
64,1764857100,0.87433,0.87446,0.87433,0.87437,106,8,0
65,1764857400,0.87437,0.87446,0.87415,0.87415,104,8,0
66,1764857700,0.87415,0.87419,0.87406,0.8741,97,8,0
67,1764858000,0.87411,0.87421,0.87403,0.87421,97,8,0
68,1764858300,0.87421,0.87425,0.87407,0.87416,102,8,0
69,1764858600,0.87415,0.87434,0.87408,0.87433,116,8,0
70,1764858900,0.87432,0.87436,0.87402,0.87414,121,8,0
71,1764859200,0.87415,0.87429,0.87415,0.87426,87,8,0
72,1764859500,0.87427,0.87457,0.87426,0.87451,116,8,0
73,1764859800,0.8745,0.87451,0.87422,0.87433,108,8,0
74,1764860100,0.87436,0.87441,0.87407,0.87417,196,8,0
75,1764860400,0.87417,0.87447,0.87416,0.87442,166,8,0
76,1764860700,0.87442,0.87453,0.87433,0.8744,96,8,0
77,1764861000,0.87439,0.8746,0.87433,0.87443,95,8,0
78,1764861300,0.87444,0.87471,0.87442,0.8746,111,8,0
79,1764861600,0.87461,0.87475,0.87461,0.87473,102,8,0
80,1764861900,0.87477,0.87477,0.87458,0.87471,128,8,0
81,1764862200,0.8747,0.87483,0.87442,0.87449,329,8,0
82,1764862500,0.87449,0.87468,0.87439,0.87461,196,8,0
83,1764862800,0.87462,0.87468,0.87451,0.87462,175,8,0
84,1764863100,0.87463,0.87473,0.87414,0.87416,167,8,0
85,1764863400,0.87417,0.87438,0.8741,0.87438,174,8,0
86,1764863700,0.87438,0.8744,0.87418,0.87423,156,8,0
87,1764864000,0.87422,0.87422,0.874,0.87401,161,8,0
88,1764864300,0.87402,0.87413,0.87399,0.87403,194,8,0
89,1764864600,0.87403,0.87407,0.87373,0.87374,217,8,0
90,1764864900,0.87375,0.87382,0.87352,0.87353,212,8,0
91,1764865200,0.87352,0.87359,0.87333,0.87352,199,8,0
