,time,open,high,low,close,tick_volume,spread,real_volume
0,1764837600,181.094,181.119,181.076,181.09,282,15,0
1,1764837900,181.09,181.091,181.052,181.079,256,15,0
2,1764838200,181.08,181.083,181.036,181.047,266,15,0
3,1764838500,181.048,181.052,180.993,181.041,356,15,0
4,1764838800,181.04,181.044,180.987,181.044,389,15,0
5,1764839100,181.045,181.122,181.044,181.082,337,15,0
6,1764839400,181.083,181.095,181.034,181.05,367,15,0
7,1764839700,181.049,181.085,181.025,181.033,262,15,0
8,1764840000,181.034,181.05,181.022,181.042,275,15,0
9,1764840300,181.041,181.078,181.025,181.025,258,15,0
10,1764840600,181.022,181.051,180.994,181.049,285,10,0
11,1764840900,181.051,181.057,181.016,181.039,253,10,0
12,1764841200,181.039,181.052,181.024,181.03,257,10,0
13,1764841500,181.029,181.085,180.976,181.074,396,10,0
14,1764841800,181.074,181.084,181.046,181.065,328,10,0
15,1764842100,181.065,181.094,181.035,181.094,368,10,0
16,1764842400,181.094,181.108,180.865,180.893,547,10,0
17,1764842700,180.892,180.931,180.812,180.836,498,10,0
18,1764843000,180.836,180.838,180.706,180.772,542,10,0
19,1764843300,180.77,180.84,180.757,180.809,464,10,0
20,1764843600,180.808,180.809,180.718,180.751,493,10,0
21,1764843900,180.744,180.777,180.719,180.763,476,10,0
22,1764844200,180.761,180.802,180.733,180.79,490,10,0
23,1764844500,180.79,180.829,180.772,180.825,400,10,0
24,1764844800,180.824,180.942,180.824,180.912,436,10,0
25,1764845100,180.913,180.938,180.834,180.934,329,10,0
26,1764845400,180.932,180.962,180.901,180.944,330,10,0
27,1764845700,180.943,180.986,180.911,180.972,469,10,0
28,1764846000,180.973,181.013,180.953,180.961,431,10,0
29,1764846300,180.96,180.972,180.885,180.898,333,10,0
30,1764846600,180.9,180.977,180.88,180.928,369,10,0
31,1764846900,180.926,180.943,180.887,180.913,386,10,0
32,1764847200,180.914,180.926,180.879,180.892,299,10,0
33,1764847500,180.893,180.893,180.857,180.874,284,10,0
34,1764847800,180.873,180.884,180.825,180.852,403,10,0
35,1764848100,180.851,180.874,180.833,180.854,362,10,0
36,1764848400,180.855,180.89,180.84,180.882,362,10,0
37,1764848700,180.88,180.912,180.873,180.888,361,10,0
38,1764849000,180.889,180.905,180.775,180.806,373,10,0
39,1764849300,180.805,180.849,180.778,180.782,339,10,0
40,1764849600,180.783,180.828,180.775,180.778,365,10,0
41,1764849900,180.777,180.777,180.638,180.659,472,10,0
42,1764850200,180.658,180.694,180.643,180.656,359,10,0
43,1764850500,180.656,180.699,180.641,180.681,318,10,0
44,1764850800,180.681,180.704,180.669,180.699,288,10,0
45,1764851100,180.697,180.7,180.659,180.695,336,10,0
46,1764851400,180.693,180.699,180.68,180.698,291,10,0
47,1764851700,180.7,180.709,180.677,180.706,331,10,0
48,1764852000,180.707,180.71,180.637,180.655,316,10,0
49,1764852300,180.655,180.656,180.62,180.623,303,10,0
50,1764852600,180.622,180.636,180.563,180.565,321,10,0
51,1764852900,180.563,180.583,180.526,180.541,357,10,0
52,1764853200,180.539,180.569,180.513,180.52,392,10,0
53,1764853500,180.521,180.521,180.41,180.423,528,10,0
54,1764853800,180.421,180.486,180.392,180.451,449,10,0
55,1764854100,180.452,180.499,180.446,180.491,349,10,0
56,1764854400,180.489,180.523,180.471,180.473,341,10,0
